Timestamp,Total CPU %,Process Name,PID,Process CPU %,Memory %
2025-02-23 12:01:09,99.3,Sidebar,3564,65.3,0.8025169372558594
2025-02-23 12:01:09,99.3,MacWhisper,40317,45.0,0.5896568298339844
2025-02-23 12:01:09,99.3,iTerm2,673,44.5,1.3356208801269531
2025-02-23 12:01:09,99.3,WindowManager,568,31.9,0.14219284057617188
2025-02-23 12:01:09,99.3,ClearVPN,3522,23.1,0.6343841552734375
2025-02-23 12:01:09,99.3,Arc,629,17.4,1.9287586212158203
2025-02-23 12:01:09,99.3,Windsurf Helper (GPU),97575,16.7,0.24538040161132812
2025-02-23 12:01:09,99.3,Windsurf Helper (Renderer),97580,14.8,0.6319522857666016
2025-02-23 12:01:09,99.3,Google Drive,89006,14.4,0.3448486328125
2025-02-23 12:01:09,99.3,ControlCenter,685,13.8,0.16794204711914062
2025-02-23 12:02:57,93.4,Google Drive,89006,44.8,0.34317970275878906
2025-02-23 12:02:57,93.4,Beeper Helper (Renderer),95820,26.6,1.1584758758544922
2025-02-23 12:02:57,93.4,Windsurf Helper (Renderer),79651,12.9,1.5416145324707031
2025-02-23 12:02:57,93.4,Arc Helper (Renderer),97358,10.2,1.5163421630859375
2025-02-23 12:02:57,93.4,ClearVPN,3522,10.0,0.6527900695800781
2025-02-23 12:02:57,93.4,Beeper Helper (GPU),95818,9.9,0.2167224884033203
2025-02-23 12:02:57,93.4,Arc Helper (GPU),836,7.4,0.48241615295410156
2025-02-23 12:02:57,93.4,Arc Helper (Renderer),31106,7.1,1.5368938446044922
2025-02-23 12:02:57,93.4,Windsurf Helper (GPU),97575,7.1,0.3437995910644531
2025-02-23 12:02:57,93.4,Sidebar,3564,6.6,0.8767604827880859
2025-02-23 12:03:00,97.1,Sidebar,3564,68.4,0.8278369903564453
2025-02-23 12:03:00,97.1,WindowManager,568,32.0,0.13170242309570312
2025-02-23 12:03:00,97.1,MacWhisper,40317,28.8,0.5896568298339844
2025-02-23 12:03:00,97.1,iTerm2,673,27.0,0.6119251251220703
2025-02-23 12:03:00,97.1,ClearVPN,3522,23.1,0.6557464599609375
2025-02-23 12:03:00,97.1,Arc,629,22.0,1.9526004791259766
2025-02-23 12:03:00,97.1,Windsurf Helper (GPU),97575,20.4,0.3437995910644531
2025-02-23 12:03:00,97.1,ControlCenter,685,14.7,0.16603469848632812
2025-02-23 12:03:00,97.1,Google Drive,89006,14.4,0.34332275390625
2025-02-23 12:03:00,97.1,Beeper Helper (Renderer),95820,12.7,1.2775421142578125
2025-02-23 12:03:02,98.4,Sidebar,3564,65.4,0.8250713348388672
